time,sample,AF3,T7,Pz,T8,AF4,marker_hardware,label,trial,state,mode
1775673324.139,119,4213.846,4204.615,4131.282,4147.179,4191.795,16212.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.1469,120,4188.718,4198.462,4133.846,4129.231,4177.436,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.1548,121,4188.718,4204.103,4133.333,4145.641,4185.641,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.1627,122,4193.846,4187.692,4124.103,4151.282,4177.949,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.1706,123,4187.692,4179.487,4117.436,4135.897,4180.0,16212.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.1784,124,4191.795,4191.282,4127.692,4140.0,4200.513,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.1863,125,4205.128,4195.897,4134.359,4162.051,4210.256,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.1941,126,4212.821,4188.718,4144.615,4168.205,4191.795,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2021,127,4209.231,4193.846,4151.282,4160.513,4197.949,227.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2099,0,4206.154,4196.923,4148.718,4162.564,4219.487,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2177,1,4208.718,4209.744,4158.974,4164.103,4218.462,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2256,2,4228.205,4230.769,4179.487,4165.128,4224.103,16218.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2335,3,4227.692,4234.872,4191.282,4153.333,4221.026,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2413,4,4209.231,4239.487,4177.949,4149.231,4212.821,16211.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2491,5,4203.077,4226.667,4156.41,4144.103,4197.949,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2571,6,4190.256,4212.308,4135.897,4121.026,4186.154,16205.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.265,7,4189.231,4218.974,4129.744,4122.564,4197.949,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2728,8,4203.077,4223.077,4138.462,4135.897,4210.769,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2806,9,4209.744,4216.41,4138.462,4135.385,4212.308,16206.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2884,10,4212.308,4216.923,4141.026,4143.59,4213.846,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.2963,11,4223.59,4223.59,4154.872,4171.795,4224.103,16214.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3042,12,4234.359,4229.231,4167.692,4184.103,4229.744,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3121,13,4238.462,4242.564,4175.897,4183.59,4237.949,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3199,14,4239.487,4246.154,4185.641,4185.641,4251.795,450.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3278,15,4226.154,4240.513,4175.385,4175.897,4248.205,16214.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3356,16,4209.231,4220.513,4159.487,4150.769,4213.846,0.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3435,17,4192.821,4209.744,4168.205,4127.692,4181.538,0.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3514,18,4167.692,4208.718,4131.282,4117.949,4175.385,0.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3593,19,4139.487,4150.769,4060.0,4087.179,4149.231,0.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3671,20,4134.359,4121.538,4067.692,4058.974,4131.282,0.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.375,21,4170.256,4194.872,4123.59,4100.513,4181.026,0.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3829,22,4205.641,4241.026,4140.0,4152.821,4232.821,0.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3907,23,4208.718,4212.308,4143.077,4162.051,4234.872,0.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.3986,24,4210.256,4205.128,4157.436,4173.333,4237.949,0.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.4064,25,4222.051,4213.846,4160.0,4189.231,4249.231,0.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.4144,26,4230.769,4202.564,4175.897,4187.179,4254.359,0.0,mano_abierta,13,mano_abierta,movimiento_real
1775673324.4222,27,4233.333,4217.949,4207.179,4189.744,4255.897,0.0,mano_abierta,13,mano_abierta,movimiento_real
