time,sample,AF3,T7,Pz,T8,AF4,marker_hardware,label,trial,state,mode
1775674359.7488,31,4202.051,4198.974,4128.205,4150.769,4181.026,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.7566,32,4205.641,4216.41,4135.897,4154.359,4202.564,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.7644,33,4189.744,4191.282,4120.513,4128.205,4193.846,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.7721,34,4191.282,4175.385,4116.923,4118.974,4171.282,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.7799,35,4222.051,4211.795,4140.513,4146.154,4196.923,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.7876,36,4236.41,4248.205,4154.872,4161.026,4233.333,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.7954,37,4223.077,4255.385,4149.744,4144.103,4230.769,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.8031,38,4217.436,4250.769,4148.205,4139.487,4214.872,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.811,39,4234.872,4246.667,4161.026,4153.846,4207.692,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.8187,40,4243.59,4243.077,4168.718,4158.462,4215.897,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.8265,41,4221.026,4231.795,4144.615,4140.513,4216.923,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.8342,42,4212.821,4232.821,4132.308,4138.974,4214.872,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.842,43,4229.744,4247.179,4157.436,4165.128,4228.718,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.8497,44,4233.333,4251.795,4178.462,4174.872,4237.949,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.8575,45,4247.692,4262.564,4192.821,4181.026,4248.205,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.8653,46,4272.821,4277.436,4206.667,4197.436,4262.051,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.8731,47,4280.0,4278.462,4209.744,4203.59,4268.718,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.8808,48,4272.821,4265.128,4199.487,4196.41,4256.41,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.8885,49,4254.359,4246.667,4173.333,4180.513,4241.538,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.8963,50,4235.897,4243.59,4154.872,4161.538,4245.128,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.904,51,4237.436,4265.128,4170.256,4163.077,4246.667,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.9119,52,4254.872,4289.744,4201.538,4187.692,4252.821,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.9196,53,4250.256,4274.872,4197.949,4182.564,4254.872,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.9274,54,4219.487,4221.538,4156.923,4147.179,4227.179,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.9351,55,4181.026,4177.436,4111.795,4117.949,4186.667,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.9429,56,4170.769,4186.154,4104.615,4112.308,4183.59,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.9506,57,4198.462,4213.846,4135.897,4131.795,4210.256,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.9584,58,4231.282,4227.692,4161.538,4166.154,4234.872,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.9662,59,4257.436,4246.154,4175.897,4198.974,4258.462,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.974,60,4257.949,4239.487,4170.256,4194.872,4261.538,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.9817,61,4241.538,4214.872,4151.282,4173.333,4246.154,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.9895,62,4222.564,4226.667,4146.154,4158.974,4229.231,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674359.9972,63,4200.0,4233.333,4145.128,4130.769,4208.718,0.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.005,64,4172.821,4187.692,4121.026,4093.333,4181.026,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.0127,65,4163.077,4168.205,4104.103,4101.538,4167.179,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.0205,66,4186.667,4209.744,4133.846,4150.769,4198.462,16229.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.0283,67,4205.641,4226.154,4165.641,4170.769,4234.359,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.036,68,4214.359,4214.872,4167.692,4167.692,4237.436,16219.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.0438,69,4223.59,4221.538,4154.359,4168.718,4230.769,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.0515,70,4221.026,4236.923,4141.026,4164.615,4229.744,16216.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.0593,71,4210.769,4241.538,4138.974,4154.359,4223.077,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.067,72,4215.897,4242.564,4149.231,4140.0,4214.872,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.0749,73,4229.744,4235.897,4150.256,4129.744,4212.308,16198.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.0826,74,4218.974,4211.795,4124.103,4126.667,4204.103,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.0904,75,4214.359,4214.359,4114.359,4133.846,4209.231,16219.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.0981,76,4244.103,4257.436,4150.769,4156.923,4243.59,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1059,77,4260.0,4269.744,4173.846,4169.231,4255.385,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1136,78,4236.923,4224.103,4146.154,4148.718,4227.179,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1215,79,4227.692,4197.949,4124.103,4137.949,4215.385,16219.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1292,80,4253.846,4211.795,4132.821,4164.615,4238.974,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.137,81,4251.795,4210.256,4112.821,4172.308,4237.949,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1447,82,4207.179,4196.923,4074.359,4140.0,4204.615,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1524,83,4184.615,4193.846,4080.513,4111.795,4187.692,16219.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1602,84,4197.436,4188.718,4101.538,4106.667,4192.308,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1679,85,4202.564,4183.59,4084.615,4115.897,4197.436,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1758,86,4203.077,4206.154,4088.205,4135.897,4210.769,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1836,87,4240.513,4249.744,4152.821,4168.205,4250.256,16219.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1913,88,4266.667,4263.59,4191.795,4187.179,4260.0,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.1991,89,4250.256,4244.103,4171.282,4177.949,4227.692,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.2068,90,4261.538,4243.59,4174.872,4181.026,4239.487,450.0,mano_cerrada,10,mano_cerrada,movimiento_real
1775674360.2146,91,4282.564,4250.769,4185.641,4190.256,4267.179,16219.0,mano_cerrada,10,mano_cerrada,movimiento_real
