time,sample,AF3,T7,Pz,T8,AF4,marker_hardware,label,trial,state,mode
1775673089.6272,65,4292.308,4221.026,4178.974,4149.744,4230.256,450.0,reposo,15,reposo,movimiento_real
1775673089.6349,66,4243.077,4247.179,4128.205,4135.897,4223.077,16220.0,reposo,15,reposo,movimiento_real
1775673089.6428,67,4255.385,4229.744,4101.538,4160.513,4242.564,450.0,reposo,15,reposo,movimiento_real
1775673089.6505,68,4285.641,4187.692,4140.513,4152.308,4214.359,16208.0,reposo,15,reposo,movimiento_real
1775673089.6583,69,4254.359,4205.128,4146.667,4111.282,4190.256,450.0,reposo,15,reposo,movimiento_real
1775673089.666,70,4228.205,4252.821,4107.179,4120.513,4230.769,16211.0,reposo,15,reposo,movimiento_real
1775673089.6738,71,4252.821,4244.103,4098.974,4159.487,4261.026,450.0,reposo,15,reposo,movimiento_real
1775673089.6815,72,4258.974,4198.462,4131.795,4141.538,4227.179,450.0,reposo,15,reposo,movimiento_real
1775673089.6893,73,4233.846,4194.872,4154.872,4097.949,4191.282,16201.0,reposo,15,reposo,movimiento_real
1775673089.6971,74,4219.487,4224.615,4133.333,4098.462,4200.0,450.0,reposo,15,reposo,movimiento_real
1775673089.705,75,4222.564,4227.179,4090.769,4135.385,4226.154,16210.0,reposo,15,reposo,movimiento_real
1775673089.7128,76,4232.821,4205.641,4085.641,4157.949,4237.436,450.0,reposo,15,reposo,movimiento_real
1775673089.7207,77,4232.308,4187.179,4112.308,4136.923,4209.744,450.0,reposo,15,reposo,movimiento_real
1775673089.7285,78,4218.462,4177.436,4131.795,4100.0,4167.692,450.0,reposo,15,reposo,movimiento_real
1775673089.7364,79,4212.308,4199.487,4132.308,4098.462,4177.949,16210.0,reposo,15,reposo,movimiento_real
1775673089.7442,80,4217.949,4241.538,4112.821,4123.077,4233.333,450.0,reposo,15,reposo,movimiento_real
1775673089.7522,81,4232.308,4248.205,4092.821,4134.359,4253.846,450.0,reposo,15,reposo,movimiento_real
1775673089.76,82,4254.359,4221.538,4105.641,4137.949,4225.641,450.0,reposo,15,reposo,movimiento_real
1775673089.7679,83,4256.923,4197.436,4131.282,4137.436,4196.923,16210.0,reposo,15,reposo,movimiento_real
1775673089.7757,84,4229.744,4191.795,4132.821,4121.026,4181.538,450.0,reposo,15,reposo,movimiento_real
1775673089.7834,85,4194.872,4211.795,4114.359,4098.462,4176.923,450.0,reposo,15,reposo,movimiento_real
1775673089.7912,86,4188.205,4242.564,4100.0,4104.615,4201.538,450.0,reposo,15,reposo,movimiento_real
1775673089.799,87,4231.795,4248.205,4107.692,4148.718,4247.692,16210.0,reposo,15,reposo,movimiento_real
1775673089.8068,88,4281.538,4218.462,4147.179,4173.333,4243.59,450.0,reposo,15,reposo,movimiento_real
1775673089.8146,89,4273.333,4206.667,4177.949,4138.974,4198.974,450.0,reposo,15,reposo,movimiento_real
1775673089.8223,90,4241.538,4246.667,4145.641,4123.077,4223.59,450.0,reposo,15,reposo,movimiento_real
1775673089.83,91,4265.128,4269.231,4117.949,4168.718,4287.692,16210.0,reposo,15,reposo,movimiento_real
1775673089.8378,92,4303.077,4250.769,4160.0,4183.59,4274.872,450.0,reposo,15,reposo,movimiento_real
1775673089.8455,93,4288.205,4268.205,4182.564,4155.385,4233.846,450.0,reposo,15,reposo,movimiento_real
1775673089.8534,94,4274.872,4291.795,4143.59,4165.128,4255.385,450.0,reposo,15,reposo,movimiento_real
1775673089.8611,95,4287.179,4241.026,4137.436,4177.949,4261.026,16210.0,reposo,15,reposo,movimiento_real
1775673089.8689,96,4272.308,4206.154,4164.103,4143.59,4222.564,450.0,reposo,15,reposo,movimiento_real
1775673089.8766,97,4242.564,4240.513,4131.282,4126.154,4221.026,450.0,reposo,15,reposo,movimiento_real
1775673089.8845,98,4253.846,4234.359,4082.051,4148.718,4238.462,450.0,reposo,15,reposo,movimiento_real
1775673089.8923,99,4276.41,4189.231,4106.667,4147.179,4221.538,16210.0,reposo,15,reposo,movimiento_real
