time,sample,AF3,T7,Pz,T8,AF4,marker_hardware,label,trial,state,mode
1775658260.2031,48,4217.436,4184.615,4100.0,4107.179,4178.974,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.2108,49,4220.513,4171.282,4110.256,4123.077,4154.872,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.2185,50,4245.128,4198.974,4150.256,4154.359,4189.744,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.2264,51,4238.462,4229.744,4160.513,4162.564,4229.231,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.2343,52,4194.359,4217.949,4124.615,4138.462,4206.667,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.2422,53,4195.897,4206.667,4108.718,4123.59,4175.897,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.25,54,4227.692,4225.128,4125.128,4124.615,4166.667,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.2579,55,4211.282,4221.026,4123.59,4118.974,4168.718,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.2656,56,4191.282,4194.359,4118.462,4128.205,4186.154,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.2735,57,4218.974,4210.769,4136.923,4160.513,4196.41,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.2814,58,4234.872,4246.154,4146.154,4165.641,4192.308,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.2893,59,4217.436,4245.641,4133.846,4143.077,4204.615,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.2971,60,4212.821,4227.179,4130.769,4141.538,4196.923,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.305,61,4216.41,4219.487,4138.462,4150.256,4164.103,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.3127,62,4225.128,4235.897,4164.615,4158.462,4195.897,0.0,mano_abierta,18,mano_abierta,movimiento_real
1775658260.3204,63,4240.513,4257.436,4185.128,4171.282,4255.385,0.0,mano_abierta,18,mano_abierta,movimiento_real
