time,sample,AF3,T7,Pz,T8,AF4,marker_hardware,label,trial,state,mode
1775657873.3506,81,4153.846,4229.231,4083.077,4096.41,4145.641,450.0,reposo,18,reposo,movimiento_real
1775657873.3585,82,4166.667,4247.692,4102.564,4111.795,4150.769,450.0,reposo,18,reposo,movimiento_real
1775657873.3662,83,4168.205,4223.59,4108.718,4113.846,4160.513,1023.0,reposo,18,reposo,movimiento_real
1775657873.3739,84,4161.538,4227.692,4113.846,4114.872,4164.103,450.0,reposo,18,reposo,movimiento_real
1775657873.3819,85,4167.179,4218.974,4115.897,4113.846,4159.487,450.0,reposo,18,reposo,movimiento_real
1775657873.3898,86,4160.513,4180.0,4093.333,4103.59,4144.615,450.0,reposo,18,reposo,movimiento_real
1775657873.3977,87,4144.615,4196.923,4075.897,4104.103,4141.538,1023.0,reposo,18,reposo,movimiento_real
1775657873.4054,88,4152.821,4236.41,4085.641,4114.872,4156.41,450.0,reposo,18,reposo,movimiento_real
1775657873.4131,89,4158.462,4212.308,4087.179,4104.103,4148.205,450.0,reposo,18,reposo,movimiento_real
1775657873.4208,90,4159.487,4183.077,4090.256,4098.462,4140.513,450.0,reposo,18,reposo,movimiento_real
1775657873.4287,91,4192.821,4235.385,4133.333,4130.769,4180.513,1023.0,reposo,18,reposo,movimiento_real
1775657873.4365,92,4228.205,4276.923,4173.846,4162.051,4217.436,450.0,reposo,18,reposo,movimiento_real
1775657873.4444,93,4230.256,4251.282,4167.692,4164.103,4213.846,450.0,reposo,18,reposo,movimiento_real
1775657873.4521,94,4224.615,4247.179,4149.231,4154.872,4203.077,450.0,reposo,18,reposo,movimiento_real
1775657873.46,95,4226.154,4271.795,4142.564,4148.718,4205.128,1023.0,reposo,18,reposo,movimiento_real
1775657873.4679,96,4221.026,4274.872,4132.308,4147.692,4197.436,450.0,reposo,18,reposo,movimiento_real
1775657873.4758,97,4197.949,4227.179,4108.718,4128.718,4167.179,450.0,reposo,18,reposo,movimiento_real
1775657873.4836,98,4168.718,4173.846,4094.359,4098.974,4147.179,450.0,reposo,18,reposo,movimiento_real
1775657873.4915,99,4170.256,4205.128,4112.308,4099.487,4161.026,1023.0,reposo,18,reposo,movimiento_real
1775657873.4994,100,4194.872,4272.308,4131.795,4120.513,4179.487,450.0,reposo,18,reposo,movimiento_real
1775657873.5073,101,4202.051,4256.41,4127.692,4126.667,4179.487,450.0,reposo,18,reposo,movimiento_real
1775657873.515,102,4196.923,4212.308,4120.0,4125.641,4186.154,450.0,reposo,18,reposo,movimiento_real
1775657873.5229,103,4192.308,4235.897,4113.333,4120.513,4183.59,1023.0,reposo,18,reposo,movimiento_real
1775657873.5306,104,4178.974,4224.103,4101.026,4103.59,4156.923,450.0,reposo,18,reposo,movimiento_real
1775657873.5386,105,4172.821,4174.359,4097.436,4101.538,4147.179,450.0,reposo,18,reposo,movimiento_real
1775657873.5463,106,4173.846,4195.385,4101.026,4106.154,4149.744,450.0,reposo,18,reposo,movimiento_real
1775657873.5542,107,4182.051,4225.128,4107.179,4102.051,4157.949,1023.0,reposo,18,reposo,movimiento_real
1775657873.5621,108,4207.179,4217.436,4117.436,4114.872,4185.128,450.0,reposo,18,reposo,movimiento_real
1775657873.57,109,4208.205,4216.41,4104.615,4111.795,4188.205,450.0,reposo,18,reposo,movimiento_real
1775657873.5778,110,4176.41,4205.128,4076.41,4081.026,4161.538,450.0,reposo,18,reposo,movimiento_real
1775657873.5857,111,4186.154,4179.487,4088.718,4088.205,4168.205,1023.0,reposo,18,reposo,movimiento_real
1775657873.5935,112,4233.333,4212.821,4131.795,4136.41,4208.718,450.0,reposo,18,reposo,movimiento_real
1775657873.6014,113,4241.026,4255.897,4141.026,4146.667,4215.897,450.0,reposo,18,reposo,movimiento_real
1775657873.6093,114,4218.462,4226.154,4121.026,4120.0,4202.051,450.0,reposo,18,reposo,movimiento_real
1775657873.617,115,4216.41,4200.0,4124.615,4116.923,4212.821,1023.0,reposo,18,reposo,movimiento_real
1775657873.6247,116,4236.923,4228.718,4142.564,4133.333,4230.769,450.0,reposo,18,reposo,movimiento_real
1775657873.6326,117,4260.0,4234.359,4142.564,4146.667,4237.436,450.0,reposo,18,reposo,movimiento_real
1775657873.6403,118,4266.667,4198.974,4130.256,4147.179,4242.051,450.0,reposo,18,reposo,movimiento_real
1775657873.6483,119,4253.333,4207.692,4127.692,4132.821,4243.59,1023.0,reposo,18,reposo,movimiento_real
1775657873.656,120,4257.949,4244.615,4132.821,4131.282,4239.487,450.0,reposo,18,reposo,movimiento_real
1775657873.6639,121,4274.872,4230.769,4135.385,4142.564,4250.256,450.0,reposo,18,reposo,movimiento_real
1775657873.6716,122,4272.308,4209.744,4135.385,4133.846,4265.128,450.0,reposo,18,reposo,movimiento_real
1775657873.6795,123,4274.359,4226.667,4129.231,4115.385,4258.462,1023.0,reposo,18,reposo,movimiento_real
1775657873.6872,124,4282.564,4221.026,4109.744,4108.718,4244.615,450.0,reposo,18,reposo,movimiento_real
1775657873.6951,125,4270.769,4195.897,4085.641,4097.436,4237.949,450.0,reposo,18,reposo,movimiento_real
1775657873.7031,126,4263.59,4206.154,4085.128,4091.795,4245.641,450.0,reposo,18,reposo,movimiento_real
1775657873.711,127,4284.103,4224.103,4115.385,4123.077,4270.256,232.0,reposo,18,reposo,movimiento_real
1775657873.7187,0,4296.41,4202.051,4133.846,4144.103,4279.487,450.0,reposo,18,reposo,movimiento_real
1775657873.7266,1,4293.333,4191.282,4128.718,4134.359,4274.359,450.0,reposo,18,reposo,movimiento_real
1775657873.7343,2,4291.795,4235.385,4123.59,4132.821,4280.0,1023.0,reposo,18,reposo,movimiento_real
1775657873.742,3,4275.385,4253.333,4108.205,4125.641,4262.564,450.0,reposo,18,reposo,movimiento_real
1775657873.7498,4,4266.667,4215.897,4091.795,4109.231,4224.615,1023.0,reposo,18,reposo,movimiento_real
1775657873.7577,5,4278.462,4196.41,4094.359,4111.282,4229.744,450.0,reposo,18,reposo,movimiento_real
1775657873.7654,6,4278.974,4225.128,4104.103,4117.949,4256.41,1023.0,reposo,18,reposo,movimiento_real
1775657873.7733,7,4274.872,4235.385,4112.821,4118.462,4255.385,450.0,reposo,18,reposo,movimiento_real
1775657873.781,8,4285.128,4221.538,4124.615,4131.282,4249.231,450.0,reposo,18,reposo,movimiento_real
1775657873.7889,9,4297.436,4235.385,4137.436,4139.487,4257.436,1023.0,reposo,18,reposo,movimiento_real
1775657873.7966,10,4295.897,4254.359,4135.897,4133.333,4256.41,450.0,reposo,18,reposo,movimiento_real
