time,sample,AF3,T7,Pz,T8,AF4,marker_hardware,label,trial,state,mode
1775658429.4545,74,4286.154,4474.872,4186.154,4210.769,4287.692,450.0,ruido,4,ruido,movimiento_real
1775658429.4623,75,4301.026,4425.128,4234.872,4195.897,4270.769,1023.0,ruido,4,ruido,movimiento_real
1775658429.47,76,4331.795,4311.282,4229.231,4207.179,4256.923,450.0,ruido,4,ruido,movimiento_real
1775658429.4779,77,4300.513,4344.103,4152.821,4183.59,4269.231,450.0,ruido,4,ruido,movimiento_real
1775658429.4856,78,4250.769,4384.615,4150.256,4139.487,4244.615,450.0,ruido,4,ruido,movimiento_real
1775658429.4935,79,4304.615,4355.385,4206.154,4193.333,4250.256,1023.0,ruido,4,ruido,movimiento_real
1775658429.5014,80,4371.282,4346.667,4213.846,4256.41,4312.821,450.0,ruido,4,ruido,movimiento_real
1775658429.5093,81,4345.641,4389.231,4204.103,4223.59,4328.718,450.0,ruido,4,ruido,movimiento_real
1775658429.5171,82,4311.795,4373.846,4230.256,4194.872,4282.564,450.0,ruido,4,ruido,movimiento_real
1775658429.525,83,4337.949,4312.821,4236.41,4222.051,4262.564,1023.0,ruido,4,ruido,movimiento_real
1775658429.5329,84,4369.744,4322.564,4206.154,4244.103,4291.282,450.0,ruido,4,ruido,movimiento_real
1775658429.5408,85,4368.205,4325.128,4191.282,4254.359,4327.692,450.0,ruido,4,ruido,movimiento_real
1775658429.5485,86,4348.205,4312.821,4203.077,4247.179,4327.179,450.0,ruido,4,ruido,movimiento_real
1775658429.5564,87,4325.128,4320.513,4223.077,4202.564,4277.949,1023.0,ruido,4,ruido,movimiento_real
1775658429.5641,88,4347.179,4321.026,4242.564,4189.744,4265.128,450.0,ruido,4,ruido,movimiento_real
1775658429.5721,89,4417.949,4268.718,4266.154,4253.333,4329.744,450.0,ruido,4,ruido,movimiento_real
1775658429.5798,90,4452.821,4240.513,4268.205,4305.641,4378.462,450.0,ruido,4,ruido,movimiento_real
1775658429.5877,91,4437.436,4241.538,4236.923,4300.0,4371.795,1023.0,ruido,4,ruido,movimiento_real
1775658429.5954,92,4437.949,4185.128,4215.897,4281.026,4373.846,450.0,ruido,4,ruido,movimiento_real
1775658429.6033,93,4454.872,4149.744,4234.872,4262.051,4400.0,450.0,ruido,4,ruido,movimiento_real
1775658429.6112,94,4481.026,4088.718,4267.179,4258.462,4429.231,450.0,ruido,4,ruido,movimiento_real
1775658429.6191,95,4542.051,4028.718,4274.872,4287.692,4463.077,1023.0,ruido,4,ruido,movimiento_real
1775658429.6271,96,4591.282,4035.897,4254.872,4281.026,4460.0,450.0,ruido,4,ruido,movimiento_real
1775658429.635,97,4597.949,4017.949,4246.667,4221.538,4432.821,450.0,ruido,4,ruido,movimiento_real
1775658429.6427,98,4641.538,3990.256,4264.103,4212.308,4477.436,450.0,ruido,4,ruido,movimiento_real
1775658429.6504,99,4722.564,4025.641,4267.692,4248.205,4557.949,1023.0,ruido,4,ruido,movimiento_real
1775658429.6581,100,4771.795,4061.538,4268.205,4261.026,4583.59,450.0,ruido,4,ruido,movimiento_real
1775658429.6658,101,4799.487,4075.385,4296.41,4280.0,4602.564,450.0,ruido,4,ruido,movimiento_real
1775658429.6735,102,4803.59,4093.333,4280.513,4281.026,4627.692,450.0,ruido,4,ruido,movimiento_real
1775658429.6815,103,4766.667,4053.333,4237.436,4247.179,4593.846,1023.0,ruido,4,ruido,movimiento_real
1775658429.6892,104,4708.718,3966.154,4237.949,4225.128,4543.077,450.0,ruido,4,ruido,movimiento_real
1775658429.6971,105,4671.795,3918.462,4224.615,4220.513,4541.026,450.0,ruido,4,ruido,movimiento_real
