time,sample,AF3,T7,Pz,T8,AF4,marker_hardware
1772893790.1358,36,4228.205,4401.538,4182.051,4155.897,4188.205,0.0
1772893790.1436,37,4240.0,4379.487,4186.667,4168.205,4199.487,0.0
1772893790.1514,38,4260.0,4430.256,4176.923,4177.436,4214.359,0.0
1772893790.1592,39,4255.385,4436.923,4177.949,4165.128,4213.333,0.0
1772893790.1669,40,4238.462,4378.974,4176.923,4152.308,4198.974,0.0
1772893790.1747,41,4228.718,4383.59,4170.769,4148.205,4187.179,0.0
1772893790.1824,42,4235.897,4450.769,4163.59,4154.359,4193.846,0.0
1772893790.1902,43,4250.256,4458.974,4158.974,4167.692,4208.718,0.0
1772893790.198,44,4255.385,4427.692,4155.385,4178.974,4218.462,0.0
1772893790.2058,45,4244.103,4424.615,4171.282,4173.846,4211.282,0.0
1772893790.2135,46,4233.333,4431.795,4198.462,4161.538,4194.359,0.0
1772893790.2213,47,4236.923,4419.487,4192.821,4167.692,4208.205,0.0
1772893790.229,48,4236.41,4405.641,4181.026,4168.718,4227.179,0.0
1772893790.2368,49,4235.897,4430.256,4156.41,4159.487,4215.897,0.0
1772893790.2445,50,4245.641,4458.462,4141.538,4164.615,4204.103,0.0
1772893790.2523,51,4238.974,4444.103,4160.0,4168.205,4207.179,0.0
1772893790.2601,52,4226.154,4427.692,4127.692,4162.564,4217.436,0.0
1772893790.2678,53,4232.821,4431.282,4085.641,4161.538,4225.128,0.0
1772893790.2756,54,4251.795,4431.795,4098.462,4169.744,4223.077,0.0
1772893790.2833,55,4256.923,4424.615,4124.103,4178.462,4219.487,0.0
1772893790.2911,56,4248.205,4411.282,4134.359,4183.59,4231.795,0.0
1772893790.2989,57,4244.615,4398.974,4089.744,4183.59,4250.769,0.0
1772893790.3067,58,4238.974,4415.385,4079.487,4170.256,4232.821,0.0
1772893790.3144,59,4246.154,4454.359,4117.949,4169.231,4211.282,0.0
1772893790.3222,60,4258.974,4453.333,4115.897,4182.564,4222.564,0.0
1772893790.3299,61,4237.436,4410.769,4111.795,4170.769,4223.077,0.0
1772893790.3377,62,4216.41,4404.615,4125.641,4157.949,4209.231,0.0
1772893790.3454,63,4233.333,4436.923,4121.026,4169.744,4206.154,0.0
1772893790.3532,64,4252.821,4442.564,4121.538,4170.769,4218.974,450.0
1772893790.361,65,4253.333,4411.795,4131.795,4164.103,4234.359,450.0
1772893790.3688,66,4240.513,4408.718,4132.308,4164.615,4225.641,16216.0
1772893790.3766,67,4231.795,4446.667,4127.179,4165.128,4208.718,450.0
1772893790.3843,68,4234.872,4440.513,4124.615,4166.667,4209.231,16214.0
1772893790.3921,69,4233.846,4387.692,4128.718,4166.667,4213.846,450.0
1772893790.3998,70,4225.128,4393.846,4143.077,4154.872,4206.667,0.0
1772893790.4075,71,4221.026,4424.615,4144.615,4137.949,4191.795,450.0
1772893790.4153,72,4231.282,4410.256,4137.436,4146.154,4190.256,450.0
1772893790.4231,73,4238.462,4406.154,4136.923,4162.051,4210.256,16188.0
1772893790.4309,74,4236.41,4430.256,4144.103,4153.333,4220.513,450.0
1772893790.4386,75,4240.0,4419.487,4156.41,4147.692,4211.282,16222.0
1772893790.4464,76,4236.41,4398.974,4151.795,4154.872,4207.692,450.0
1772893790.4541,77,4224.615,4418.462,4140.513,4157.949,4205.128,450.0
1772893790.4619,78,4217.949,4433.333,4147.692,4155.897,4189.231,450.0
1772893790.4697,79,4214.359,4425.128,4161.026,4148.718,4173.333,16222.0
1772893790.4775,80,4208.718,4415.897,4168.205,4149.744,4185.128,450.0
1772893790.4852,81,4209.744,4402.051,4170.256,4163.59,4203.59,450.0
1772893790.4929,82,4227.179,4397.949,4169.744,4175.897,4203.59,450.0
1772893790.5007,83,4251.795,4422.564,4164.615,4180.0,4201.538,16222.0
1772893790.5084,84,4245.128,4438.974,4168.718,4168.718,4201.538,450.0
1772893790.5162,85,4220.0,4413.333,4163.59,4155.897,4200.513,450.0
1772893790.524,86,4222.564,4403.59,4145.641,4165.641,4197.436,450.0
1772893790.5318,87,4228.718,4402.564,4149.231,4180.513,4187.692,16222.0
1772893790.5395,88,4199.487,4391.795,4150.256,4176.41,4173.333,450.0
1772893790.5473,89,4171.282,4405.641,4141.538,4173.333,4169.744,450.0
1772893790.5551,90,4176.41,4424.103,4143.077,4185.128,4180.513,450.0
1772893790.5628,91,4165.641,4418.462,4143.59,4177.436,4172.308,16222.0
1772893790.5706,92,4136.923,4412.308,4143.59,4160.513,4152.308,450.0
1772893790.5784,93,4140.0,4414.872,4143.59,4161.538,4150.256,450.0
1772893790.5861,94,4146.667,4410.769,4140.513,4157.949,4148.718,450.0
1772893790.5939,95,4144.615,4401.538,4131.795,4154.359,4150.769,16222.0
1772893790.6016,96,4139.487,4388.205,4142.051,4161.538,4150.256,450.0
1772893790.6094,97,4125.128,4395.897,4163.077,4154.872,4138.462,450.0
1772893790.6171,98,4138.974,4428.718,4132.308,4153.333,4152.821,450.0
1772893790.625,99,4172.308,4407.692,4101.538,4166.154,4173.333,16222.0
1772893790.6327,100,4168.205,4372.821,4127.179,4166.667,4162.051,450.0
1772893790.6405,101,4139.487,4398.462,4150.769,4167.692,4155.385,450.0
1772893790.6482,102,4140.0,4435.897,4157.949,4177.436,4168.205,450.0
1772893790.656,103,4155.897,4422.564,4148.718,4173.333,4164.615,16222.0
1772893790.6637,104,4162.051,4401.538,4139.487,4161.026,4151.282,450.0
1772893790.6714,105,4173.846,4420.513,4127.179,4169.744,4164.615,450.0
1772893790.6793,106,4174.359,4438.974,4104.103,4178.462,4187.179,450.0
1772893790.687,107,4158.462,4428.205,4111.282,4166.667,4194.359,16222.0
1772893790.6948,108,4158.974,4408.205,4153.846,4156.41,4183.077,450.0
1772893790.7025,109,4164.103,4402.564,4159.487,4152.821,4159.487,450.0
1772893790.7103,110,4157.436,4418.462,4121.026,4157.949,4157.436,450.0
1772893790.718,111,4165.128,4426.667,4102.051,4168.205,4181.026,16222.0
1772893790.7258,112,4187.179,4403.59,4123.59,4172.308,4195.897,450.0
1772893790.7336,113,4185.641,4403.59,4103.59,4174.872,4191.795,450.0
1772893790.7414,114,4157.949,4437.949,4084.103,4177.949,4180.513,450.0
1772893790.7491,115,4153.333,4424.103,4124.103,4177.436,4175.385,16222.0
1772893790.7569,116,4193.333,4405.128,4136.41,4182.051,4188.718,450.0
1772893790.7646,117,4213.333,4414.872,4127.692,4189.231,4198.974,450.0
1772893790.7724,118,4175.385,4413.333,4139.487,4175.385,4190.256,450.0
1772893790.7801,119,4148.205,4427.692,4135.385,4161.026,4183.59,16222.0
1772893790.788,120,4158.974,4424.615,4133.333,4166.154,4175.897,450.0
1772893790.7957,121,4164.615,4376.41,4129.744,4166.154,4157.949,450.0
1772893790.8035,122,4164.615,4388.718,4121.026,4163.59,4157.436,450.0
1772893790.8112,123,4175.897,4441.538,4119.487,4174.872,4175.897,16222.0
1772893790.8189,124,4178.974,4428.205,4118.462,4183.59,4183.59,450.0
1772893790.8267,125,4162.051,4406.154,4116.923,4178.462,4172.821,450.0
1772893790.8346,126,4162.051,4417.436,4130.256,4177.949,4170.769,450.0
1772893790.8423,127,4171.795,4412.308,4130.769,4169.231,4170.256,234.0
1772893790.85,0,4166.154,4410.256,4127.692,4155.897,4160.0,450.0
1772893790.8578,1,4164.103,4410.769,4155.385,4169.231,4157.436,450.0
1772893790.8655,2,4162.564,4405.128,4164.103,4170.256,4158.974,16219.0
1772893790.8733,3,4156.923,4409.231,4145.641,4152.308,4158.974,450.0
1772893790.881,4,4164.103,4414.359,4148.205,4165.128,4164.103,16228.0
1772893790.8889,5,4176.41,4426.667,4154.359,4185.641,4172.821,450.0
1772893790.8966,6,4169.744,4431.795,4152.821,4172.308,4177.949,0.0
1772893790.9044,7,4166.667,4410.769,4155.385,4157.949,4175.897,450.0
1772893790.9121,8,4186.154,4404.103,4163.077,4168.718,4170.256,450.0
1772893790.9199,9,4198.462,4391.795,4157.436,4177.949,4162.051,16210.0
1772893790.9277,10,4193.846,4388.718,4150.769,4178.974,4165.641,450.0
1772893790.9354,11,4181.538,4452.308,4151.795,4180.0,4181.026,16202.0
1772893790.9433,12,4175.385,4472.308,4140.513,4176.923,4183.077,450.0
1772893790.951,13,4186.154,4387.179,4144.615,4175.897,4176.923,450.0
1772893790.9587,14,4193.333,4366.667,4162.051,4175.385,4171.795,450.0
1772893790.9665,15,4189.744,4437.949,4170.256,4167.179,4162.564,16202.0
1772893790.9742,16,4194.872,4441.538,4172.821,4169.231,4167.179,0.0
1772893790.982,17,4195.385,4403.077,4157.436,4181.026,4180.0,0.0
1772893790.9897,18,4190.256,4414.359,4156.41,4187.692,4181.026,0.0
1772893790.9975,19,4197.949,4430.769,4168.205,4187.692,4180.0,0.0
1772893791.0053,20,4196.41,4434.359,4150.256,4184.615,4183.077,0.0
1772893791.013,21,4189.744,4433.333,4130.769,4189.231,4188.718,0.0
1772893791.0208,22,4187.179,4411.795,4142.564,4183.59,4184.103,0.0
1772893791.0286,23,4183.077,4405.128,4149.231,4164.103,4165.128,0.0
1772893791.0363,24,4192.821,4429.744,4136.41,4161.538,4155.897,0.0
1772893791.044,25,4192.821,4420.513,4142.051,4165.641,4157.949,0.0
1772893791.0519,26,4173.333,4397.436,4146.154,4164.615,4157.436,0.0
1772893791.0597,27,4176.41,4420.0,4161.026,4177.436,4162.051,0.0
1772893791.0674,28,4188.205,4450.256,4176.923,4186.154,4171.282,0.0
1772893791.0751,29,4172.821,4449.231,4114.359,4171.282,4168.205,0.0
1772893791.0829,30,4170.256,4432.821,4082.564,4158.974,4165.641,0.0
1772893791.0906,31,4191.795,4419.487,4153.846,4161.538,4178.974,0.0
1772893791.0985,32,4184.103,4406.154,4186.154,4164.615,4186.667,0.0
1772893791.1063,33,4172.821,4396.923,4145.128,4165.641,4174.872,0.0
1772893791.114,34,4196.41,4408.718,4105.641,4169.231,4164.103,0.0
