time,sample,AF3,T7,Pz,T8,AF4,marker_hardware,label,trial,state
1774524994.0545,59,4296.41,4264.103,4150.256,4189.231,4173.333,0.0,0,1,rest
1774524994.0623,60,4288.718,4279.487,4147.692,4168.718,4168.205,0.0,0,1,rest
1774524994.0702,61,4282.564,4295.897,4148.718,4170.769,4161.026,0.0,0,1,rest
1774524994.0781,62,4284.615,4274.872,4161.538,4187.692,4150.256,0.0,0,1,rest
1774524994.086,63,4282.051,4240.0,4181.538,4185.128,4138.974,0.0,0,1,rest
1774524994.0938,64,4284.103,4255.897,4195.385,4185.641,4137.949,450.0,0,1,rest
1774524994.1017,65,4289.744,4295.897,4203.59,4202.051,4135.385,450.0,0,1,rest
1774524994.1096,66,4290.256,4283.59,4207.179,4198.974,4130.769,16212.0,0,1,rest
1774524994.1174,67,4288.205,4250.256,4198.462,4173.333,4138.462,450.0,0,1,rest
1774524994.1254,68,4284.103,4267.692,4177.436,4160.513,4142.051,16224.0,0,1,rest
1774524994.1332,69,4283.077,4303.59,4171.795,4170.256,4134.359,450.0,0,1,rest
1774524994.141,70,4290.769,4301.026,4181.026,4181.538,4143.077,16194.0,0,1,rest
1774524994.1489,71,4286.154,4281.026,4171.795,4177.949,4151.282,450.0,0,1,rest
1774524994.1567,72,4274.872,4281.026,4162.564,4168.718,4133.846,450.0,0,1,rest
1774524994.1646,73,4280.0,4273.846,4176.923,4181.538,4121.026,16175.0,0,1,rest
1774524994.1724,74,4285.128,4249.744,4186.667,4196.41,4121.538,450.0,0,1,rest
1774524994.1804,75,4276.923,4248.205,4178.974,4177.949,4109.744,16224.0,0,1,rest
1774524994.1882,76,4266.667,4266.667,4169.231,4156.41,4094.872,450.0,0,1,rest
1774524994.1961,77,4263.59,4273.846,4167.692,4165.641,4100.0,450.0,0,1,rest
1774524994.2039,78,4268.718,4261.538,4174.359,4172.821,4113.333,450.0,0,1,rest
1774524994.2118,79,4273.846,4254.359,4183.077,4163.59,4112.308,16224.0,0,1,rest
1774524994.2197,80,4272.821,4274.872,4187.179,4171.282,4114.359,450.0,0,1,rest
1774524994.2275,81,4268.205,4291.795,4188.205,4180.0,4131.795,450.0,0,1,rest
1774524994.2355,82,4275.385,4274.359,4179.487,4170.769,4140.513,450.0,0,1,rest
1774524994.2434,83,4280.0,4257.436,4173.333,4171.282,4129.744,16224.0,0,1,rest
1774524994.2512,84,4260.0,4279.487,4180.513,4186.154,4118.974,450.0,0,1,rest
1774524994.259,85,4257.949,4306.154,4176.923,4184.103,4127.179,450.0,0,1,rest
1774524994.2669,86,4296.923,4295.897,4168.718,4180.513,4143.59,450.0,0,1,rest
1774524994.2747,87,4310.769,4264.615,4172.308,4187.179,4142.564,16224.0,0,1,rest
1774524994.2827,88,4285.641,4271.282,4175.385,4173.333,4118.974,450.0,0,1,rest
1774524994.2905,89,4284.103,4306.667,4174.872,4157.949,4114.872,450.0,0,1,rest
1774524994.2984,90,4293.846,4288.718,4172.821,4169.231,4141.538,450.0,0,1,rest
1774524994.3062,91,4283.077,4247.692,4166.667,4182.051,4156.41,16224.0,0,1,rest
1774524994.3141,92,4274.359,4267.692,4169.744,4185.641,4164.615,450.0,0,1,rest
1774524994.3219,93,4273.846,4297.436,4181.538,4196.41,4180.0,450.0,0,1,rest
1774524994.3298,94,4276.923,4268.718,4180.0,4201.538,4184.615,450.0,0,1,rest
1774524994.3377,95,4281.026,4240.0,4175.385,4191.795,4180.513,16224.0,0,1,rest
1774524994.3456,96,4286.154,4272.821,4176.923,4188.205,4191.795,450.0,0,1,rest
1774524994.3534,97,4286.154,4301.538,4169.231,4191.795,4202.051,450.0,0,1,rest
1774524994.3613,98,4273.846,4276.41,4155.897,4187.179,4194.359,450.0,0,1,rest
1774524994.3691,99,4258.974,4270.256,4154.359,4171.795,4199.487,16224.0,0,1,rest
1774524994.377,100,4257.949,4298.974,4160.513,4166.154,4211.795,450.0,0,1,rest
1774524994.3848,101,4264.615,4295.897,4161.538,4175.385,4207.692,450.0,0,1,rest
1774524994.3928,102,4271.795,4269.744,4163.59,4180.0,4211.282,450.0,0,1,rest
1774524994.4007,103,4281.538,4271.795,4170.769,4178.974,4230.256,16224.0,0,1,rest
1774524994.4085,104,4290.769,4285.641,4174.359,4187.179,4237.436,450.0,0,1,rest
1774524994.4164,105,4294.359,4274.872,4171.795,4197.949,4239.487,450.0,0,1,rest
1774524994.4242,106,4288.205,4246.154,4171.282,4195.897,4248.205,450.0,0,1,rest
1774524994.4321,107,4280.513,4242.564,4173.846,4194.359,4255.897,16224.0,0,1,rest
1774524994.44,108,4277.949,4280.0,4176.923,4194.359,4258.462,450.0,0,1,rest
1774524994.4479,109,4267.692,4301.026,4171.795,4182.051,4247.179,450.0,0,1,rest
1774524994.4557,110,4260.0,4277.436,4154.872,4165.641,4229.744,450.0,0,1,rest
1774524994.4636,111,4274.359,4250.769,4151.282,4162.564,4225.641,16224.0,0,1,rest
1774524994.4715,112,4274.872,4258.462,4165.128,4175.897,4226.667,450.0,0,1,rest
1774524994.4793,113,4254.872,4284.615,4171.795,4186.667,4227.692,450.0,0,1,rest
1774524994.4872,114,4264.615,4286.667,4167.179,4186.667,4236.41,450.0,0,1,rest
1774524994.4951,115,4286.667,4268.718,4173.846,4189.744,4247.692,16224.0,0,1,rest
1774524994.503,116,4288.718,4279.487,4189.744,4210.256,4261.538,450.0,0,1,rest
1774524994.5108,117,4293.333,4304.103,4192.821,4215.385,4272.308,450.0,0,1,rest
1774524994.5187,118,4292.308,4284.615,4187.179,4193.846,4264.615,450.0,0,1,rest
1774524994.5266,119,4271.282,4246.667,4183.59,4180.0,4249.744,16224.0,0,1,rest
1774524994.5344,120,4272.821,4257.949,4185.128,4177.436,4248.718,450.0,0,1,rest
1774524994.5423,121,4291.795,4292.308,4185.128,4177.949,4265.128,450.0,0,1,rest
1774524994.5502,122,4288.974,4293.269,4183.974,4179.038,4270.192,450.0,0,1,rest
1774524994.558,123,4286.154,4294.231,4182.821,4180.128,4275.256,450.0,0,1,rest
1774524994.5658,124,4283.333,4295.192,4181.667,4181.218,4280.321,450.0,0,1,rest
1774524994.5736,125,4280.513,4296.154,4180.513,4182.308,4285.385,450.0,0,1,rest
1774524994.5814,126,4277.692,4297.115,4179.359,4183.397,4290.449,450.0,0,1,rest
1774524994.5892,127,4274.872,4298.077,4178.205,4184.487,4295.513,450.0,0,1,rest
1774524994.5971,0,4272.051,4299.038,4177.051,4185.577,4300.577,450.0,0,1,rest
1774524994.6049,1,4269.231,4300.0,4175.897,4186.667,4305.641,450.0,0,1,rest
1774524994.6126,2,4265.128,4280.0,4182.051,4196.41,4304.103,16224.0,0,1,rest
1774524994.6204,3,4255.897,4263.59,4179.487,4186.667,4305.641,450.0,0,1,rest
1774524994.6281,4,4254.359,4266.667,4167.179,4153.846,4298.974,16244.0,0,1,rest
1774524994.6359,5,4257.436,4257.949,4172.821,4146.667,4289.744,450.0,0,1,rest
1774524994.6436,6,4262.051,4248.718,4183.077,4162.051,4301.538,16203.0,0,1,rest
1774524994.6515,7,4264.615,4262.564,4178.974,4164.615,4312.308,450.0,0,1,rest
1774524994.6592,8,4258.974,4275.385,4175.385,4173.333,4307.179,450.0,0,1,rest
1774524994.667,9,4252.308,4265.128,4187.179,4190.769,4313.846,16193.0,0,1,rest
1774524994.6747,10,4255.385,4255.897,4204.103,4193.846,4328.718,450.0,0,1,rest
1774524994.6825,11,4254.872,4255.385,4208.205,4180.0,4327.692,16211.0,0,1,rest
1774524994.6902,12,4237.436,4258.974,4200.513,4165.641,4315.897,450.0,0,1,rest
1774524994.698,13,4220.0,4274.872,4188.718,4166.154,4297.949,450.0,0,1,rest
1774524994.7058,14,4215.897,4277.949,4185.128,4158.462,4282.564,450.0,0,1,rest
1774524994.7136,15,4224.615,4252.821,4191.795,4147.179,4295.385,16211.0,0,1,rest
1774524994.7213,16,4237.949,4250.769,4200.513,4165.128,4310.256,0.0,0,1,rest
1774524994.7291,17,4237.436,4275.897,4197.436,4172.821,4297.436,0.0,0,1,rest
1774524994.7368,18,4230.769,4275.897,4192.308,4153.333,4298.974,0.0,0,1,rest
1774524994.7446,19,4244.103,4277.949,4197.949,4159.487,4322.564,0.0,0,1,rest
1774524994.7523,20,4258.462,4304.615,4198.462,4184.615,4314.359,0.0,0,1,rest
1774524994.7601,21,4245.128,4296.41,4187.692,4174.872,4292.308,0.0,0,1,rest
1774524994.7679,22,4228.718,4265.128,4179.487,4167.692,4297.436,0.0,0,1,rest
1774524994.7756,23,4238.974,4264.615,4180.513,4187.179,4296.923,0.0,0,1,rest
1774524994.7834,24,4254.359,4291.282,4184.103,4185.641,4288.718,0.0,0,1,rest
