time,sample,AF3,T7,Pz,T8,AF4,marker_hardware
1774430693.2835,74,4265.641,4294.872,4164.615,4145.641,4194.359,450.0
1774430693.2913,75,4284.103,4270.769,4154.872,4133.846,4189.231,16187.0
1774430693.299,76,4283.077,4321.026,4147.179,4150.769,4223.59,450.0
1774430693.3069,77,4263.077,4322.051,4170.256,4160.513,4222.051,450.0
1774430693.3148,78,4276.41,4274.872,4194.872,4155.897,4214.872,450.0
1774430693.3227,79,4302.051,4267.179,4182.051,4173.333,4246.154,16187.0
1774430693.3305,80,4302.051,4286.667,4171.282,4180.513,4246.154,450.0
1774430693.3384,81,4285.641,4296.41,4185.641,4156.923,4223.59,450.0
1774430693.3462,82,4290.256,4274.359,4176.41,4155.897,4243.59,450.0
1774430693.3541,83,4301.026,4269.231,4154.872,4177.436,4265.641,16187.0
1774430693.3619,84,4272.821,4306.667,4169.231,4174.872,4253.333,450.0
1774430693.3699,85,4247.179,4305.128,4192.821,4154.872,4226.154,450.0
1774430693.3777,86,4262.564,4260.513,4183.59,4142.564,4201.026,450.0
1774430693.3856,87,4280.513,4268.718,4167.179,4146.154,4217.436,16187.0
1774430693.3934,88,4261.026,4297.436,4162.564,4140.513,4235.385,450.0
1774430693.4012,89,4247.692,4276.41,4170.256,4123.59,4201.538,450.0
1774430693.4089,90,4267.692,4270.256,4167.179,4133.333,4186.154,450.0
1774430693.4166,91,4253.846,4280.513,4138.974,4146.154,4206.667,16187.0
1774430693.4245,92,4226.667,4273.846,4135.897,4124.615,4212.821,450.0
1774430693.4322,93,4250.769,4250.256,4159.487,4106.154,4202.564,450.0
1774430693.44,94,4287.179,4226.667,4160.0,4128.205,4201.026,450.0
1774430693.4477,95,4285.128,4255.385,4135.385,4147.179,4221.538,16187.0
1774430693.4555,96,4270.256,4296.41,4128.205,4130.256,4243.59,450.0
1774430693.4632,97,4262.564,4272.308,4149.744,4117.949,4231.795,450.0
1774430693.471,98,4258.462,4226.154,4155.385,4128.718,4213.846,450.0
1774430693.4788,99,4277.436,4237.436,4141.026,4138.974,4223.077,16187.0
1774430693.4867,100,4289.231,4266.667,4143.077,4135.385,4230.769,450.0
1774430693.4945,101,4267.179,4229.231,4153.846,4122.051,4227.179,450.0
1774430693.5024,102,4257.949,4192.308,4145.641,4118.462,4223.59,450.0
1774430693.5102,103,4260.0,4232.308,4131.795,4129.744,4226.667,16187.0
1774430693.5181,104,4249.744,4263.59,4140.513,4132.821,4221.538,450.0
1774430693.526,105,4248.718,4233.333,4149.231,4138.462,4205.641,450.0
1774430693.5339,106,4248.718,4225.641,4142.051,4153.846,4217.949,450.0
1774430693.5417,107,4236.41,4242.051,4143.59,4141.538,4243.077,16187.0
